
> serp-filetypes@0.0.1 report:db-content /Users/devin/repos/projects/github@serptemplates/filetypes
> node scripts/report-db-content.mjs -- --format csv

slug,fields_total,fields_filled,fields_empty,summary_words,technical_words,how_to_open_words,how_to_convert_words,total_words
tax2016,12,6,6,13,204,0,0,217
tax2017,12,6,6,13,198,0,0,211
tax2018,12,6,6,13,211,0,0,224
tax2019,12,7,5,13,185,98,0,296
tax2020,12,7,5,13,252,121,0,386
tax2021,12,7,5,13,312,153,0,478
tax2022,12,7,5,13,305,126,0,444
tax2023,12,7,5,13,173,121,0,307
tax2024,12,7,5,13,159,121,0,293
tax21,12,7,5,13,62,113,0,188
taz,12,6,6,13,9,0,0,22
tb,12,6,6,13,26,0,0,39
tb0,12,6,6,13,48,0,0,61
tbc,12,7,5,13,266,29,0,308
tbd,12,6,6,13,36,0,0,49
tbio,12,7,5,13,90,42,0,145
tbk,12,6,6,13,21,0,0,34
tbl,12,6,6,13,33,0,0,46
tbm,12,7,5,13,115,59,0,187
tbn,12,6,6,13,52,0,0,65
tbp,12,6,6,13,18,0,0,31
tbres,12,7,5,13,45,10,0,68
tbs,12,6,6,13,11,0,0,24
tbx,12,7,5,13,149,37,0,199
tbz,12,8,4,13,28,0,0,41
tbz2,12,7,5,13,73,39,0,125
tc,12,7,5,13,60,22,0,95
tc2,12,6,6,13,23,0,0,36
tc3,12,6,6,13,22,0,0,35
tcap,12,3,9,6,0,0,0,6
tcc,12,5,7,13,0,0,0,13
tccfgextender,12,6,6,13,39,0,0,52
tcd,12,6,6,13,45,0,0,58
tcl,12,7,5,13,113,41,0,167
tclogs,12,6,6,13,45,0,0,58
tcls,12,6,6,13,59,0,0,72
tcm,12,6,6,13,22,0,0,35
tcn,12,6,6,13,20,0,0,33
tcnet,12,6,6,13,45,0,0,58
tco2,12,7,5,13,110,46,0,169
tcp,12,6,6,13,16,0,0,29
tcr,12,6,6,13,38,0,0,51
tct,12,5,7,13,0,0,0,13
tcvp,12,7,5,13,119,43,0,175
tcw,12,6,6,13,57,0,0,70
tcx,12,7,5,13,172,67,0,252
tcz,12,6,6,13,13,0,0,26
td,12,6,6,13,93,0,0,106
td0,12,7,5,13,81,17,0,111
td4,12,5,7,13,0,0,0,13
td6,12,5,7,13,0,0,0,13
tda,12,5,7,13,0,0,0,13
tda3mt,12,7,5,13,99,24,0,136
tdb,12,6,6,13,63,0,0,76
tdck,12,7,5,13,74,46,0,133
tddd,12,6,6,13,27,0,0,40
tde,12,6,6,13,39,0,0,52
tdesktop-theme,12,7,5,13,158,50,0,221
tdf,12,6,6,13,8,0,0,21
tdl,12,6,6,13,42,0,0,55
tdm,12,6,6,13,20,0,0,33
tdms,12,6,6,13,94,0,0,107
tds,12,6,6,13,150,0,0,163
tdt,12,6,6,13,23,0,0,36
tdx,12,6,6,13,19,0,0,32
tdz,12,5,7,13,0,0,0,13
te,12,8,4,13,24,0,0,37
te3,12,5,7,13,0,0,0,13
teacher,12,7,5,13,0,0,0,13
tec,12,6,6,13,85,0,0,98
ted,12,6,6,13,26,0,0,39
tee,12,6,6,13,88,0,0,101
tef,12,5,7,13,0,0,0,13
tei,12,3,9,6,0,0,0,6
teicorpus,12,3,9,6,0,0,0,6
temp,12,6,6,13,102,0,0,115
temper,12,7,5,13,73,78,0,164
templ,12,7,5,13,89,62,0,164
template,12,8,4,13,205,57,88,363
